Session,Paper Title,Author List, Keywords, Abstract,,,,,,
3D Content Capture and Generation 1,DGTR: Distributed Gaussian Turbo-Reconstruction for Sparse-View Vast Scenes,"Li, Hao;Gao, Yuanyuan;Peng, Haosong;Wu, Chenming;Ye, Weicai;Zhan, Yufeng;Zhao, Chen;Zhang, Dingwen;Wang, Jingdong;Han, Junwei",Keywords: Computer Vision for Transportation,Abstract: 小说视图合成 （NVS�?方法起着关键作用在大型场景重建中。然而，这些方法依赖于严重依赖密集的图像输入和延长的训练时间，使它们不适合计算资源所在的位置 有限�?此外，小样本方法通常难以在广阔的环境中重建质量差�?�?论文介绍�?DGTR，这是一种新颖的分布式框架，用于稀疏视�?vast 的高效高斯重�?场景�?我们的方法将场景划分为多个区域，由具有稀疏图像输入的无人机独立处理。使用前馈高斯模型，我们预测高质量的高斯基元，然后是全局对齐算法来确保几何一致性。综合视图和深度先验被合并到进一步增强训练，而基于蒸馏的模型聚合机制可实现高效的,,,,,,
3D Content Capture and Generation 1,LiDAR-EDIT: LiDAR Data Generation by Editing the Object Layouts in Real-World Scenes,"Ho, Shing-Hei;Thach, Bao;Zhu, Minghan","Keywords: Computer Vision for Transportation, Data Sets for Robotic Vision, Deep Learning for Visual Perception","Abstract: We present LiDAR-EDIT, a novel paradigm for generating synthetic LiDAR data for autonomous driving. Our framework edits real-world LiDAR scans by introducing new object layouts while preserving the realism of the background environment. Compared to end-to-end frameworks that generate LiDAR point clouds from scratch, LiDAR-EDIT offers users full control over the object layout, including the number, type, and pose of objects, while keeping most of the original real-world background. Our method also provides object labels for the generated data. Compared to novel view synthesis techniques, our framework allows for the creation of counterfactual scenarios with object layouts significantly different from the original real-world scene. LiDAR-EDIT uses spherical voxelization to enforce correct LiDAR projective geometry in the generated point clouds by construction. During object removal and insertion, generative models are employed to fill the unseen background and object parts that were occluded in the original real Lidar scans. Experimental results demonstrate that our framework produces realistic LiDAR scans with practical value for downstream tasks. Project website with open-sourced code: https://sites.google.com/view/lidar-edit",,,,,,
3D Content Capture and Generation 1,TICMapNet: A Tightly Coupled Temporal Fusion Pipeline for Vectorized HD Map Learning,"Qiu, Wenzhao;Pang, Shanmin;Zhang, Hao;Fang, Jianwu;Xue, Jianru","Keywords: Mapping, Deep Learning for Visual Perception, Visual Learning","Abstract: High-Definition (HD) map construction is essential for autonomous driving to accurately understand the surrounding environment. Most existing methods rely on single-frame inputs to predict local map, which often fail to effectively capture the temporal correlations between frames. This limitation results in discontinuities and instability in the generated map.To tackle this limitation, we propose a textit{Ti}ghtly textit{C}oupled temporal fusion textit{Map} textit{Net}work (TICMapNet). TICMapNet breaks down the fusion process into three sub-problems: PV feature alignment, BEV feature adjustment, and Query feature fusion. By doing so, we effectively integrate temporal information at different stages through three plug-and-play modules, using the proposed tightly coupled strategy. Unlike traditional methods, our approach does not rely on camera extrinsic parameters, offering a new perspective for addressing the visual fusion challenge in the field of object detection. Experimental results show that TICMapNet significantly improves upon its single-frame baseline model, achieving at least a 7.0% increase in mAP using just two consecutive frames on the nuScenes dataset, while also showing generalizability across other tasks. The code and demos are available at url{https://github.com/adasfag/TICMapNet}.",,,,,,
3D Content Capture and Generation 1,DynaMoN: Motion-Aware Fast and Robust Camera Localization for Dynamic Neural Radiance Fields,"Schischka, Nicolas;Schieber, Hannah;Karaoglu, Mert Asim;Görgülü, Melih;Grötzner, Florian;Ladikos, Alexander;Navab, Nassir;Roth, Daniel;Busam, Benjamin","Keywords: Localization, Mapping","Abstract: The accurate reconstruction of dynamic scenes with neural radiance fields is significantly dependent on the estimation of camera poses. Widely used structure-from-motion pipelines encounter difficulties in accurately tracking the camera trajectory when faced with separate dynamics of the scene content and the camera movement. To address this challenge, we propose Dynamic Motion-Aware Fast and Robust Camera Localization for Dynamic Neural Radiance Fields (DynaMoN). DynaMoN utilizes semantic segmentation and generic motion masks to handle dynamic content for initial camera pose estimation and statics-focused ray sampling for fast and accurate novel-view synthesis. Our novel iterative learning scheme switches between training the NeRF and updating the pose parameters for an improved reconstruction and trajectory estimation quality. The proposed pipeline shows significant acceleration of the training process. We extensively evaluate our approach on two real-world dynamic datasets, the TUM RGB-D dataset and the BONN RGB-D Dynamic dataset. DynaMoN improves over the state-of-the-art both in terms of reconstruction quality and trajectory accuracy. We plan to make our code public to enhance research in this area.",,,,,,
Vision-Based Tactile Sensing 1,TransForce: Transferable Force Prediction for Vision-Based Tactile Sensors with Sequential Image Translation,"Chen, Zhuo;Ou, Ni;Zhang, Xuyang;Luo, Shan",Keywords: Force and Tactile Sensing,"Abstract: Vision-based tactile sensors (VBTSs) provide high-resolution tactile images crucial for robot in-hand manipulation. However, force sensing in VBTSs is underutilized due to the costly and time-intensive process of acquiring paired tactile images and force labels. In this study, we introduce a transferable force prediction model, TransForce, designed to leverage collected image-force paired data for new sensors under varying illumination colors and marker patterns while improving the accuracy of predicted forces, especially in the shear direction. Our model effectively achieves translation of tactile images from the source domain to the target domain, ensuring that the generated tactile images reflect the illumination colors and marker patterns of the new sensors while accurately aligning the elastomer deformation observed in existing sensors, which is beneficial to force prediction of new sensors. As such, a recurrent force prediction model trained with generated sequential tactile images and existing force labels is employed to estimate higher-accuracy forces for new sensors with lowest average errors of 0.69N (5.8% in full work range) in x-axis, 0.70N (5.8%) in y-axis, and 1.11N (6.9%) in z-axis compared with models trained with single images. The experimental results also reveal that pure marker modality is more helpful than the RGB modality in improving the accuracy of force in the shear direction, while the RGB modality show better performance in the normal direction.",,,,,,
Vision-Based Tactile Sensing 1,HumanFT: A Human-Like Fingertip Multimodal Visuo-Tactile Sensor,"Wu, Yifan;Chen, Yuzhou;Zhu, Zhengying;Qin, Xuhao;Xiao, Chenxi","Keywords: Force and Tactile Sensing, Multi-Modal Perception for HRI, Soft Sensors and Actuators","Abstract: Tactile sensors play a crucial role in enabling robots to interact effectively and safely with objects in everyday tasks. In particular, visuotactile sensors have seen increasing usage in two and three-fingered grippers due to their high-quality feedback. However, a significant gap remains in the development of sensors suitable for humanoid robots, especially five-fingered dexterous hands. One reason is because of the challenges in designing and manufacturing sensors that are compact in size. In this paper, we propose HumanFT, a multimodal visuotactile sensor that replicates the shape and functionality of a human fingertip. To bridge the gap between human and robotic tactile sensing, our sensor features real-time force measurements, high-frequency vibration detection, and overtemperature alerts. To achieve this, we developed a suite of fabrication techniques for a new type of elastomer optimized for force propagation and temperature sensing. Besides, our sensor integrates circuits capable of sensing pressure and vibration. These capabilities have been validated through experiments. The proposed design is simple and cost-effective to fabricate. We believe HumanFT can enhance humanoid robots' perception by capturing and interpreting multimodal tactile information.",,,,,,
Vision-Based Tactile Sensing 1,FeelAnyForce: Estimating Contact Force Feedback from Tactile Sensation for Vision-Based Tactile Sensors,"Shahidzadeh, Amir Hossein;Caddeo, Gabriele Mario;Alapati, Koushik;Natale, Lorenzo;Fermuller, Cornelia;Aloimonos, Yiannis","Keywords: Force and Tactile Sensing, Perception for Grasping and Manipulation","Abstract: In this paper, we tackle the problem of estimating 3D contact forces using vision-based tactile sensors. In particular, our goal is to estimate contact forces over a large range (up to 15 N) on any objects while generalizing across different vision-based tactile sensors. Thus, we collected a dataset of over 200K indentations using a robotic arm that pressed various indenters onto a GelSight Mini sensor mounted on a force sensor and then used the data to train a multi-head transformer for force regression. Strong generalization is achieved via accurate data collection and multi-objective optimization that leverages depth contact images. Despite being trained only on primitive shapes and textures, the regressor achieves a mean absolute error of 4% on a dataset of unseen real-world objects. We further evaluate our approach's generalization capability to other GelSight mini and DIGIT sensors, and propose a reproducible calibration procedure for adapting the pre-trained model to other vision-based sensors. Furthermore, the method was evaluated on real-world tasks, including weighing objects and controlling the deformation of delicate objects, which relies on accurate force feedback.",,,,,,
Vision-Based Tactile Sensing 1,VITaL Pretraining: Visuo-Tactile Pretraining for Tactile and Non-Tactile Manipulation Policies,"George, Abraham;Gano, Selam;Katragadda, Pranav;Barati Farimani, Amir","Keywords: Force and Tactile Sensing, Deep Learning in Grasping and Manipulation, Imitation Learning","Abstract: Tactile information is a critical tool for dexterous manipulation. As humans, we rely heavily on tactile information to understand objects in our environments and how to interact with them. We use touch not only to perform manipulation tasks but also to learn how to perform these tasks. Therefore, to create robotic agents that can learn to complete manipulation tasks at a human or super-human level of performance, we need to properly incorporate tactile information into both skill execution and skill learning. In this paper, we investigate how we can incorporate tactile information into imitation learning platforms to improve performance on manipulation tasks. We show that incorporating visuo-tactile pretraining improves imitation learning performance, not only for tactile agents (policies that use tactile information at inference), but also for non-tactile agents (policies that do not use tactile information at inference). For these non-tactile agents, pretraining with tactile information significantly improved performance (for example, improving the accuracy on USB plugging from 20% to 85%), reaching a level on par with visuo-tactile agents, and even surpassing them in some cases. For demonstration videos and access to our codebase, see the project website: https://sites.google.com/andrew.cmu.edu/visuo-tactile-pretr aining",,,,,,
Vision-Based Tactile Sensing 1,EasyCalib: Simple and Low-Cost In-Situ Calibration for Force Reconstruction with Vision-Based Tactile Sensors,"Li, Mingxuan;Zhang, Lunwei;Zhou, Yen Hang;Li, Tiemin;Jiang, Yao","Keywords: Force and Tactile Sensing, Contact Modeling, Haptics and Haptic Interfaces","Abstract: For elastomer-based tactile sensors, represented by vision-based tactile sensors, routine calibration of mechanical parameters (Young's modulus and Poisson's ratio) has been shown to be important for force reconstruction. However, the reliance on existing in-situ calibration methods for accurate force measurements limits their cost-effective and flexible applications. This article proposes a new in-situ calibration scheme that relies only on comparing contact deformation. Based on the detailed derivations of the normal contact and torsional contact theories, we designed a simple and low-cost calibration device, EasyCalib, and validated its effectiveness through extensive finite element analysis. We also explored the accuracy of EasyCalib in the practical application and demonstrated that accurate contact distributed force reconstruction can be realized based on the mechanical parameters obtained. EasyCalib balances low hardware cost, ease of operation, and low dependence on technical expertise and is expected to provide the necessary accuracy guarantees for wide applications of visuotactile sensors.",,,,,,
Vision-Based Tactile Sensing 1,"NormalFlow: Fast, Robust, and Accurate Contact-Based Object 6DoF Pose Tracking with Vision-Based Tactile Sensors","Huang, Hung-Jui;Kaess, Michael;Yuan, Wenzhen","Keywords: Force and Tactile Sensing, Perception for Grasping and Manipulation","Abstract: Tactile sensing is crucial for robots aiming to achieve human-level dexterity. Among tactile-dependent skills, tactile-based object tracking serves as the cornerstone for many tasks, including manipulation, in-hand manipulation, and 3D reconstruction. In this work, we introduce NormalFlow, a fast, robust, and real-time tactile-based 6DoF tracking algorithm. Leveraging the precise surface normal estimation of vision-based tactile sensors, NormalFlow determines object movements by minimizing discrepancies between the tactile-derived surface normals. Our results show that NormalFlow consistently outperforms competitive baselines and can track low-texture objects like table surfaces. For long-horizon tracking, we demonstrate when rolling the sensor around a bead for 360 degrees, NormalFlow maintains a rotational tracking error of 2.5 degrees. Additionally, we present state-of-the-art tactile-based 3D reconstruction results, showcasing the high accuracy of NormalFlow. We believe NormalFlow unlocks new possibilities for high-precision perception and manipulation tasks that involve interacting with objects using hands. Please also check our supplementary video to see our method in action.",,,,,,
Aerial Robots 1,Nezha-MB: Design and Implementation of a Morphing Hybrid Aerial-Underwater Vehicle,"Xu, Zhuxiu;Shen, Yishu;Bi, Yuanbo;Zeng, Baichuan;Zeng, Zheng","Keywords: Marine Robotics, Field Robots, Aerial Systems: Applications",Abstract: 航空水下航行�?（HAUV�?由于能够在空中和水域中无缝运行，因此表现出巨大的潜力。然而，在两种介质的快速可作性和在跨域阶段实现稳定性仍然是一个重大挑战。受到可伸缩四肢的启发，本文提出了一种新颖的变形 HAUV，哪�?MB。哪�?MB 在过渡阶段利用线性执行器结合齿轮和齿条系统进行手臂转换，取代传统的伺服系统。转化机构占总重量的 11%。在空中模式下，哪吒-MB 表现出与四旋翼配置相当的飞行性能。在水下模式下，哪吒-MB 将其四旋翼臂缩回子弹形外壳中，显着减少阻力和能耗，同时能够通过直径小至 134 毫米的狭窄间隙。在空中和水下领域进行的模拟和现场测试表ą,,,,,,
Aerial Robots 1,From Ceilings to Walls: Universal Dynamic Perching of Small Aerial Robots on Surfaces with Variable Orientations,"Habas, Bryan;Brown, Aaron C.;Lee, Donghyeon;Goldman, Mitchell;Cheng, Bo","Keywords: Aerial Systems: Applications, Surveillance Robotic Systems, AI-Enabled Robotics","Abstract: This work demonstrates universal dynamic perching capabilities for quadrotors of various sizes and on surfaces with different orientations. By employing a non-dimensionalization framework and deep reinforcement learning, we systematically assessed how robot size and surface orientation affect landing capabilities. We hypothesized that maintaining geometric proportions across different robot scales ensures consistent perching behavior, which was validated in both simulation and experimental tests. Additionally, we investigated the effects of joint stiffness and damping in the landing gear on perching behaviors and performance. While joint stiffness had minimal impact, joint damping ratios influenced landing success under vertical approaching conditions. The study also identified a critical velocity threshold necessary for successful perching, determined by the robot's maneuverability and leg geometry. Overall, this research advances robotic perching capabilities, offering insights into the role of mechanical design and scaling effects, and lays the groundwork for future drone autonomy and operational efficiency in unstructured environments.",,,,,,
Aerial Robots 1,Towards Perpetually-Deployable Ubiquitous Aerial Robotics: An Amphibious Self-Sustainable Solar Small-UAS,"Carlson, Stephen;Arora, Prateek;Papachristos, Christos","Keywords: Field Robots, Aerial Systems: Applications","Abstract: This work deals with the problem of unlocking perpetual deployment capabilities for small-UAS robotics across the diverse settings of the real world and their challenges, encompassing considerations for marine environments alongside the more common terrestrial ones. Via the progress made within this scope, a step towards truly ubiquitous and self-sustainable aerial robotics is accomplished. The work consists of the development of the Gannet Solar-VTOL, a waterproof small-UAS that is capable of resting on the surface of water for prolonged periods of time and over varying temperature ranges, while harvesting solar power to recharge itself. Equally importantly, it integrates a field-proven Self-Sustainable Autonomous System architecture that allows it to hibernate and sustain its battery charge overnight or during periods of solar illumination scarcity, as well as to assess mission-critical parameters (e.g., water surface turbulence, ambient temperature of battery compartment) on the low-power side of the Power Management Stack, and react appropriately. Finally, the robot is equipped with an onboard camera and a Neural Processing Unit that allows it to perform in-field environmental monitoring operations (e.g., wildfire detection). This paper experimentally demonstrates the aforementioned capabilities, and concludes with a presentation of the amphibious small-UAS' long-term deployment within a marine environment in the N.Nevada region, spanning over 3 consecutive days.",,,,,,
Aerial Robots 1,Autonomous Drone for Dynamic Smoke Plume Tracking,"Pal, Srijan Kumar;Sharma, Shashank;Krishnakumar, Nikil;Hong, Jiarong","Keywords: Aerial Systems: Perception and Autonomy, Reinforcement Learning, Vision-Based Navigation","Abstract: This paper presents a novel autonomous drone-based smoke plume tracking system capable of navigating and tracking plumes in highly unsteady atmospheric conditions. The system integrates advanced hardware and software and a comprehensive simulation environment to ensure robust performance in controlled and real-world settings. The quadrotor, equipped with a high-resolution imaging system and an advanced onboard computing unit, performs precise maneuvers while accurately detecting and tracking dynamic smoke plumes under fluctuating conditions. Our software implements a two-phase flight operation: descending into the smoke plume upon detection and continuously monitoring the smoke's movement during in-plume tracking. Leveraging Proportional IntegralDerivative (PID) control and a Proximal Policy Optimization (PPO) based Deep Reinforcement Learning (DRL) controller enables adaptation to plume dynamics. Unreal Engine simulation evaluates performance under various smoke-wind scenarios, from steady flow to complex, unsteady fluctuations, showing that while the PID controller performs adequately in simpler scenarios, the DRL-based controller excels in more challenging environments. Field tests corroborate these findings. This system opens new possibilities for drone-based monitoring in areas like wildfire management and air quality assessment. The successful integration of DRL for real-time decision-making advances autonomous drone control for dynamic environments.",,,,,,
Aerial Robots 1,EvMAPPER: High-Altitude Orthomapping with Event Cameras,"Cladera, Fernando;Chaney, Kenneth;Hsieh, M. Ani;Taylor, Camillo Jose;Kumar, Vijay","Keywords: Mapping, Field Robots, Aerial Systems: Applications","Abstract: Traditionally, unmanned aerial vehicles (UAVs) rely on CMOS-based cameras to collect images about the world below. One of the most successful applications of UAVs is to generate orthomosaics or orthomaps, in which a series of images are integrated to develop a larger map. However, using CMOS-based cameras with global or rolling shutters means that orthomaps are vulnerable to challenging light conditions, motion blur, and high-speed motion of independently moving objects (IMOs) under the camera. Event cameras are less sensitive to these issues, as their pixels trigger asynchronously on brightness changes. This work introduces the first orthomosaic approach using event cameras. We focus on addressing high-dynamic range and low-light problems in orthomosaics. In contrast to existing methods relying only on CMOS cameras, our approach enables map generation even in challenging light conditions, including direct sunlight and after sunset.",,,,,,
